Waist_cm;Weight_kg;Bodyfat_percent
99,7;87,2;21
97,1;88,1;23
100,5;97,6;24
83,8;74,5;6
79,1;76,2;6
83,9;73,1;6
82,1;67,4;7
85,4;87,4;7
83,8;72,4;8
85,2;81,8;8
86,4;88,9;9
88;76,8;9
88,9;87,1;9
78;77,1;9
79,3;83,3;9
81,7;64,2;9
95,2;88,2;10
84;65,1;10
89,1;86,8;10
88,1;78,1;11
78;74,3;11
83;74,8;12
86,9;70,3;12
82,8;80,9;12
74,8;72;13
85,7;77,7;13
82,8;67,5;13
84,6;88,3;14
85,7;84,6;14
80,7;72,9;15
85,9;69,2;15
87;80,6;15
94;83,9;15
91,9;86,8;16
80,9;79,3;16
88,8;73,7;16
88,8;88,7;16
81,2;75,1;16
82,9;80,1;16
95,4;114,9;17
94,7;84,6;17
91,1;79,4;17
88,3;74,3;17
95,9;92,1;18
89,6;67,8;18
85,2;80,6;18
90,7;79,7;19
85,5;66,8;20
94,2;95,1;20
86,7;83,8;20
93,7;83,9;21
84,3;86,5;21
95,7;91,2;21
90;78,7;21
80,7;74,5;22
89,6;71,3;22
100,8;110,3;22
94,2;83,4;23
88,5;83,8;23
100,4;109,4;23
91,6;87,5;23
88,2;71;23
83,1;67,4;23
87,3;63,1;24
96,3;91,8;24
95,1;85,2;24
83,3;87,3;24
96,7;91,3;25
94;87,2;25
95,4;87,1;25
88;85,5;25
94,6;82,7;26
100,1;107;28
94;82,8;32
104,3;94,3;25
94,7;79,4;25
103;99,4;26
97,2;81,6;26
101,4;106,9;26
102,6;89,8;27
97,1;85;27
100,3;76,9;28
104,5;92,7;29
106,6;107,3;30
105,6;97,9;30
100,1;101,2;31
107;94,1;31
117,7;110,8;32
97,1;84,4;33
109,7;88,9;33
108;98,2;33
114;103,6;35
111,6;109,7;35
98,2;91,8;36
106,6;96;36
99,8;82;36
103,8;81,4;36
107,8;100,7;37
110,4;99,8;37
108,2;99,7;37
95,7;76;37
105,1;94,8;38
107;97;38
104;89,5;39
110,6;100,4;41
106,4;113,2;41
114,6;111,6;42
106;92,4;43
114,1;114,6;43
112,7;100,1;45
