"Time";"Visitors"
9;54
9,05;52
9,1;45
9,15;42
9,2;38
9,25;57
9,3;38
9,35;51
9,4;55
9,45;49
9,5;66
9,55;59
9,6;48
9,65;54
9,7;69
9,75;52
9,8;46
9,85;64
9,9;65
9,95;59
10;66
10,05;80
10,1;62
10,15;72
10,2;70
10,25;67
10,3;77
10,35;87
10,4;68
10,45;72
10,5;66
10,55;82
10,6;94
10,65;82
10,7;92
10,75;113
10,8;94
10,85;105
10,9;86
10,95;104
11;114
11,05;97
11,1;97
11,15;97
11,2;109
11,25;114
11,3;111
11,35;119
11,4;112
11,45;106
11,5;113
11,55;127
11,6;113
11,65;136
11,7;129
11,75;148
11,8;132
11,85;132
11,9;149
11,95;138
12;149
